Transaction ID,Transactions
1,"7UP 2.25 LITRE BOTTLE, AHMED JAM 200GM APPLE, BEST DAY SWEET CORN 400GM TIN"
2,"ALMARAI CREAM 170GM TIN, AMERICAN GARDEN PEANUT BUTTER 340GM, KELLOGGS GRANOLA 340GM CHOCOLATE WITH HAZELNUT"
3,"AQUA COCO 1LITRE COCONUT WATER, DAWN CAKE RUSK 8PCS PACK, JENAN WHITE OATS 400GM TIN"
4,"CAKE UP CAKE 12PCS CARAMEL, MITCHELLS JAM MIXED FRUIT 200GM, FRUITAMINS PINEAPPLE BROKEN SLICES 545GM"
5,"CADBURY DAIRY MILK 40GM BUBBLY, FALAK SALT 800GM REFINED, MILO CEREAL WHOLE GRAIN 450GM"
6,"HARPAL COOKING OIL 1X5 LITRE POUCH, DHALDA BANASPATI 1X5 KG POUCH, BH CHICKEN BREAST BONELESS (KG)"
7,"NATIONAL JAM 200GM MIXED FRUIT, AHMED SQUASH 800ML MANGO, ALASAL NATURAL HONEY 250GM MUG"
8,"COCA COLA 1 LITRE BOTTLE, CAKE UP CAKE 12PCS CHOCOLATE, KATO JUICE 320ML ORANGE IMP"
9,"GARNIER MEN FACE WASH OIL CLEAR LOCAL 100GM, COLGATE TOOTH PASTE 375GM 2+1(OFFER PACK), NEUTROGENA FACE WASH 200ML OIL BALANCING"
10,"MITCHELLS JAM GOLDEN APPLE 200GM, NATURES SWEET CORN 380GM TIN, BURHANI CZUN SYRUP 800ML ICE CREAM SODA"
11,"HILAL BAKETIME CAKE SLICES 6PCS FRUIT, PONDS FACIAL FOAM 100GM AGE MIRACLE IMP, KIRKIRE CHIPS 17GM RED CHILLI JHATKA"
12,"NAYAB HONEY 1000GM PURE, NISSIN RAMEN NOODLES 120GM HOT CARBO, DAIRY KING MILK POWDER 850GM"
13,"KATOLIVE OIL 1 LITRE STAND UP POUCH, HIMALAYA FACE WASH 100ML CHARCOAL, HEINZ FARLEYS RUSK 120GM ORANGE IMP"
14,"NUTRILIGHT STAWBI STICK 50GM, FALAK SALT PINK ROCK 400GM REFILL POUCH, CINDY MALT DRINK 250ML TIN"
15,"DADI JAN CHIPS 50GM RINGO RING, OLIVIA FAIRNESS FACE WASH 60ML FAIR&BEAUTIFUL, COFRESH COCONUT MILK DRINK 290ML MIX"
16,"MITCHELLS JELLY STRAWBERRY 200GM, JIF PEANUT BUTTER 454GM CREAMY, BRADYS CAKE RUSK 8PCS PACK"
17,"FALAK SALT 400GM PINK, NURPUR MILK 1.5 LITRE, JAZAA SALT HIMALAYAN PINK 220GM BOTTLE"
18,"FRESH CUT WHOLE KERNEL CORN 420GM TIN, 7UP 2.25 LITRE BOTTLE, AMERICAN GARDEN POPCORN EXTRA BUTTER"
19,"GILLETTE RAZOR SIMPLY VENUS 1PCS, KATOLIVE OIL 3LITRE BOTTLE, BEST DAY RED KIDNEY BEANS 400GM"
20,"AHMED JAM 200GM MANGO, MURREE BREWERY 500ML BIG APPLE DRINK, COMELLE MILK POWDER 390GM"
21,"FUNCHIES ICE CREAM CONES 250GM BOX, HARPAL COOKING OIL 1X5 LITRE POUCH, DAWN SCHOOL BUN 70GM"
22,"KINDER JOY SURPRISE EGG 20GM PINK, CAKE UP CAKE 6PCS TRIPLE CHOCOLATE, MILK PAK WHIPPING CREAM PACK 200ML"
23,"HILAL CAKE RUSK MINI 6S, KERNAL POPCORNS CHEESE (PACKS), BURHANI CZUN SYRUP 800ML RAHAT-E-ROOH"
24,"DALDA PLANTA OIL 3LITRE BOTTLE, DAWN CRISPY RUSK, AHMED SYRUP 450GM CARROT"
25,"FRUITI O JUICE 1 LITRE POMEGRANTE, COFRESH COCONUT MILK DRINK 290ML MIX, JAZAA MASALA 100GM PESHAWARI KARAHI"
26,"NUTRILIGHT CHOCI STICK 50GM, CANDI ORIGINAL COOKIES SNACK PACK 6PCS, JAZAA SALT 800GM HIMALAYAN PINK"
27,"AMERICAN GARDEN POPCORN BUTTER LITE, CAKE UP CAKE 12PCS DOUBLE CHOCOLATE, COCA COLA 250ML TIN"
28,"KERNAL POPCORNS BUTTER (PACKS), KATO JUICE 320ML PEACH IMP, BURHANI CZUN SYRUP 800ML ROSE"
29,"7UP 2.25 LITRE BOTTLE, KELLOGGS GRANOLA 340GM CHOCOLATE WITH HAZELNUT, NISSIN RAMEN NOODLES 121GM EXTRA HOT CHICKEN"
30,"MITCHELLS SQUASH ORANGE 800ML, PONDS FACIAL FOAM 100GM AGE MIRACLE IMP, NAYAB HONEY 1000GM BERRY"
31,"NESTLE NESVITA MILK 1 LITRE, KATO JUICE 320ML YOUNG COCONUT IMP, CAKE UP CAKE 6PCS TRIPLE CHOCOLATE"
32,"FALAK SALT 400GM IODIZED, MITCHELLS JAM STRAWBERRY TIN 950GM, OLIVOLA CANOLA OIL 1X5 LITRE POUCH"
33,"FUNCHIES MINGALZ 330GM CHOCO BALLS, ALMARAI CREAM 170GM TIN, HEINZ FARLEYS RUSK 120GM ORANGE IMP"
34,"DALDA SUNFLOWER OIL 1X5 LITRE POUCH, AHMED JELLY 200GM RASPBERRY, FRUITI O JUICE 1 LITRE FRUIT PUNCH"
35,"FRESH CUT WHOLE KERNEL CORN 420GM TIN, BORGES OLIVE OIL 2LITRE EXTRA VIRGIN, AHMED JAM 435GM ORANGE MARMALADE"
36,"OLIVOLA CANOLA OIL 1X5 LITRE POUCH, KERNAL POPCORNS BUTTER SACHET 80GM, AHMED JAM 435GM STRAWBERRY"
37,"HILAL CAKE RUSK MINI 6S, AHMED SYRUP 450GM APPLE, GARNIER MEN SCRUB 100ML ANTI ACNE ACNO FIGHT"
38,"KISAN COOKING OIL 3LITRE BOTTLE, GARNIER SKIN ACTIVE TISSUE MASK DRY&SENSTIVE SKIN PURPLE, NAYAB HONEY 500GM BERRY"
39,"NISSIN RAMEN NOODLES 121GM EXTRA HOT CHICKEN, CAKE UP CAKE 12PCS STRAWBERRY, FRUITAMINS PINEAPPLE BROKEN SLICES 545GM"
40,"MOGU MOGU JUICE 320ML MIX, LIFEBUOY SOAP 128GM NATURE GREEN, KATO JUICE 320ML STRAWBERRY IMP"
41,"DAWN CAKE RUSK 8PCS PACK, HARPAL COOKING OIL 1X5 LITRE POUCH, ALOEVERA GEL 120GM"
42,"KATO JUICE 320ML MELON IMP, COCA COLA 1 LITRE BOTTLE, BEST DAY PINEAPPLE BROKEN SLICES 3000GM"
43,"MURREE BREWERY 500ML BIG APPLE DRINK, AMERICAN GARDEN PEANUT BUTTER 340GM, DALDA PLANTA OIL 3LITRE BOTTLE"
44,"KERNEL POPCORNS NATURAL (PACKS), MITCHELLS JAM GOLDEN APPLE 950GM, NESTLE NESVITA MILK 200ML 24PCS"
45,"ALMARWAH TEA DANEDAR 170GM BOX, GARNIER FACE WASH PURE ACTIVE 3IN1 CHARCOAL 100ML, NISSIN RAMEN NOODLES 120GM HOT CARBO"
46,"AHMED JELLY 200GM PINEAPPLE, FRUITI O JUICE 1 LIT"
47,"CINDY MALT DRINK 250ML TIN, KERNAL POPCORNS CHEESE (PACKS), NESTLE NESVITA MILK 1 LITRE"
48,"PONDS FACIAL FOAM 100GM AGE MIRACLE IMP, FALAK SALT 800GM REFINED, COCACOLA 330ML CAN"
